sample_id,tic_id,label,n_sectors,flux_mean,flux_std,flux_median,flux_mad,flux_skew,flux_kurt,bls_period,bls_duration,bls_depth,bls_power,bls_snr,status,error
SAMPLE_006171,389525208,0,2,0.99781156,0.0043347315,1.0,0.0030344725,-0.19892026,-1.6648453,13.527513756878438,0.3,0.005452042097825709,0.006420548815876172,3.638008870594142,success,
SAMPLE_002388,100990000,1,4,0.8961363,0.3078844,1.0,0.0037308335,-2.5661633,4.588114,14.100550275137568,0.05,1.001886756582962,3289.377468274504,0.6707131196127101,success,
SAMPLE_003069,238059180,1,14,0.9975904,0.009659792,1.0,0.004466474,-1.1687299,1.8975897,14.071535767883942,0.3,0.003940900034553717,0.027046702002904672,6.3358059212596505,success,
SAMPLE_005956,182943944,0,2,1.0011114,0.003822903,1.0,0.0032633543,0.1379313,-1.313621,1.1020510255127562,0.135,0.0014499638664427384,0.0037643386306483342,3.69837044959741,success,
SAMPLE_006566,309436531,0,1,0.99997383,0.0037852388,1.0,0.0025293827,-0.066004075,0.20305419,3.2128564282141068,0.08,0.006066608262096703,0.005520560370860997,10.54537938142478,success,
SAMPLE_006675,307956396,0,9,1.002593,0.01840851,1.0,0.011034727,0.7662605,0.36077714,4.148574287143571,0.16,0.005333481399012982,0.0765340271243478,3.966050953940882,success,
SAMPLE_006943,187532854,0,1,1.0000548,0.0042336113,1.0,0.0028414726,-0.017733995,0.039485455,1.653326663331666,0.3,0.0015934108758505839,0.0024716758264680333,2.461122341938263,success,
SAMPLE_006281,309257814,0,22,1.0027623,0.06924388,1.0,0.04831189,-0.038361322,-0.40253115,13.527513756878438,0.3,0.054538803260048375,15.006256952938038,7.1429214487398776,success,
SAMPLE_002718,469811655,1,4,0.99839586,0.009665261,1.0,0.006347865,-0.32999957,-0.7584038,14.688094047023512,0.3,0.015215388199210941,0.05000573621938051,5.297223375090005,success,
SAMPLE_006111,66783360,0,5,1.0002081,0.0040069176,1.0,0.0029870868,0.17620592,-0.41342497,7.623061530765383,0.3,0.0027773702471899616,0.02516622516104679,3.9072560673521877,success,
SAMPLE_006328,439610306,0,2,0.99730265,0.0041509294,1.0,0.0026277304,-0.053470705,-1.890179,14.339919959979989,0.3,0.004690592078386807,0.0047523572738982145,3.3539492186712185,success,
SAMPLE_002842,31374837,1,3,0.9993362,0.0020528536,1.0,0.0011981726,-0.5625852,-1.1943971,13.15032516258129,0.245,0.0031147181176353353,0.001149624070850608,6.395020984488272,success,
SAMPLE_000237,441797803,1,28,1.0015745,0.017278371,1.0,0.012965441,0.16199702,-1.0967063,14.25287643821911,0.3,0.005376061252105404,0.11302140625007467,6.311651758333315,success,
SAMPLE_000450,232650365,1,46,0.99615794,0.027160427,1.0,0.017831445,-0.3350043,-0.28891397,13.556528264132066,0.3,0.016418740503991554,3.7027479583132346,8.156004556203804,success,
SAMPLE_006457,190271688,0,2,1.0041019,0.0077572875,1.0,0.005951971,-0.237186,-0.661947,12.657078539269634,0.3,0.008942663544330277,0.0345475719073845,5.3461174915360905,success,
SAMPLE_005295,63100069,1,2,1.0005745,0.015453418,1.0,0.014330208,0.0035294325,-1.4740437,6.3899449724862425,0.3,0.010583193580664193,0.05566598122380846,2.664272753565252,success,
SAMPLE_006133,427654774,0,7,1.0058453,0.058258288,1.0,0.043334484,0.14234309,-0.8719268,12.53376688344172,0.3,0.035182712407409535,1.2898118289408733,7.373649382726465,success,
SAMPLE_006581,415969574,0,1,1.0000079,0.0058531915,1.0,0.003892064,-0.019359065,0.048222065,10.038519259629815,0.135,0.006411148400409717,0.0019934869548856897,2.7080361192832045,success,
SAMPLE_003355,175193677,1,8,0.99955434,0.0032940083,1.0,0.0031176805,0.03391133,-1.1353229,13.317158579289645,0.3,0.004006351432846407,0.048513699575989465,5.26112740897822,success,
SAMPLE_007086,347098457,0,1,1.0000379,0.0019046889,1.0,0.0012727976,0.14036946,0.09113002,5.439719859929965,0.3,0.001601042719335099,0.0011073619249067212,3.094360380274743,success,
SAMPLE_006649,151930063,0,2,0.99976724,0.011513929,0.99999994,0.008933663,1.34003685e-05,-0.67317104,14.97823911955978,0.3,0.009251039221158363,0.021138686487838353,5.228001972227955,success,
SAMPLE_006494,49710555,0,2,1.0014238,0.007489155,1.0,0.0058237314,0.25273928,-0.911325,12.084042021010506,0.3,0.006444606326148365,0.008971117350990808,2.9007188782422064,success,
SAMPLE_006296,219824469,0,2,1.0191556,0.02452272,1.0,0.0059235096,0.27092257,-1.7505006,7.173336668334167,0.3,0.020302364827538024,0.19063603313558455,3.2581997427698624,success,
SAMPLE_006243,154867950,0,13,1.0033404,0.018440908,1.0,0.01731944,0.058087073,-1.7127068,13.21560780390195,0.3,0.014853847499452103,1.0447151795175977,4.343840022901489,success,
SAMPLE_002382,232567319,1,4,1.0032654,0.011787601,0.99999994,0.004808724,0.8776929,-0.49248576,13.469484742371185,0.3,0.0102527566043747,0.045411415771053176,3.329236982436596,success,
SAMPLE_002139,666567477,1,1,0.99988556,0.009942538,1.0,0.0066583157,-0.03587126,0.0002465248,1.6895947973986993,0.105,0.007224664954506166,0.02615008763613966,9.242299568497529,success,
SAMPLE_006766,7439481,0,3,0.99947816,0.063446715,0.99999994,0.04392636,-0.04105405,-0.103885174,1.4212106053026514,0.3,0.0779273024732509,93.73461243837794,13.790245497348334,success,
SAMPLE_000239,275722992,1,6,0.9997342,0.029322574,1.0,0.0151949525,63.204124,5589.3994,14.419709854927463,0.3,0.009315877048249216,0.067432384143381,8.210395777870483,success,
SAMPLE_004012,234825296,1,5,1.0004967,0.033435527,1.0,0.023778558,0.095919244,-0.12249017,14.593796898449224,0.3,0.0232287102804209,0.9267165953685491,4.021562503750326,success,
SAMPLE_007075,229141709,0,2,0.9974875,0.011405746,1.0,0.0075196624,-3.1396613,19.206402,14.202101050525263,0.135,0.0706466497908306,0.9707396051369777,9.672789319973006,success,
SAMPLE_006978,263203229,0,1,1.0000699,0.00794196,1.0,0.0053887367,0.02288817,-0.01327467,5.004502251125563,0.135,0.005230172110106746,0.006647192173225243,7.231447455771937,success,
SAMPLE_006521,412259468,0,3,0.9965308,0.0077329087,1.0,0.002887845,-0.77275974,-0.99645877,14.775137568784391,0.3,0.01030323421677181,0.02430986948957555,6.686417939133664,success,
